,Prices
2020-10-31,10.1
2020-11-30,10.3
2020-12-31,11.0
2021-01-31,10.9
2021-02-28,10.9
2021-03-31,10.9
2021-04-30,10.4
2021-05-31,9.84
2021-06-30,10.0
2021-07-31,10.1
2021-08-31,10.3
2021-09-30,10.2
2021-10-31,10.1
2021-11-30,11.2
2021-12-31,11.4
2022-01-31,11.5
2022-02-28,11.8
2022-03-31,11.5
2022-04-30,10.7
2022-05-31,10.7
2022-06-30,10.4
2022-07-31,10.5
2022-08-31,10.4
2022-09-30,10.8
2022-10-31,11.0
2022-11-30,11.6
2022-12-31,11.6
2023-01-31,12.1
2023-02-28,11.7
2023-03-31,12.0
2023-04-30,11.5
2023-05-31,11.2
2023-06-30,10.9
2023-07-31,11.4
2023-08-31,11.1
2023-09-30,11.5
2023-10-31,11.8
2023-11-30,12.2
2023-12-31,12.8
2024-01-31,12.6
2024-02-29,12.4
2024-03-31,12.7
2024-04-30,12.1
2024-05-31,11.4
2024-06-30,11.5
2024-07-31,11.6
2024-08-31,11.5
2024-09-30,11.8
2024-10-31,12.12572283405735
2024-11-30,12.5887106967181
2024-12-31,12.934792386058657
2025-01-31,13.039962100969271
2025-02-28,12.761522077066052
2025-03-31,13.052297733653013
2025-04-30,12.494461598447312
2025-05-31,11.979336989142551
2025-06-30,11.898213301950966
2025-07-31,12.17430976627999
2025-08-31,11.986364947751342
2025-09-30,12.331531883454852
